@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
183,5805,0,5347,458,0.921102,1,0.520534,1,0.479466,0.684673,0.960551,1.041069,0
184,5805,0,5346,459,0.92093,1,0.520581,1,0.479419,0.684713,0.960465,1.041162,0
185,5805,0,5345,460,0.920758,1,0.520628,1,0.479372,0.684754,0.960379,1.041256,0
186,5805,0,5344,461,0.920586,1,0.520674,1,0.479326,0.684794,0.960293,1.041349,0
187,5805,0,5343,462,0.920413,1,0.520721,1,0.479279,0.684835,0.960207,1.041442,0
188,5805,0,5342,463,0.920241,1,0.520768,1,0.479232,0.684875,0.960121,1.041536,0
189,5805,0,5341,464,0.920069,1,0.520815,1,0.479185,0.684915,0.960034,1.041629,0
190,5805,0,5340,465,0.919897,1,0.520861,1,0.479139,0.684956,0.959948,1.041723,0
191,5805,0,5339,466,0.919724,1,0.520908,1,0.479092,0.684996,0.959862,1.041816,0
192,5805,0,5338,467,0.919552,1,0.520955,1,0.479045,0.685037,0.959776,1.04191,0
193,5805,0,5337,468,0.91938,1,0.521002,1,0.478998,0.685077,0.95969,1.042003,0
194,5805,0,5336,469,0.919208,1,0.521048,1,0.478952,0.685117,0.959604,1.042097,0
195,5805,0,5335,470,0.919035,1,0.521095,1,0.478905,0.685158,0.959518,1.04219,0
196,5805,0,5334,471,0.918863,1,0.521142,1,0.478858,0.685198,0.959432,1.042284,0
197,5805,0,5333,472,0.918691,1,0.521189,1,0.478811,0.685239,0.959345,1.042377,0
198,5805,0,5332,473,0.918519,1,0.521236,1,0.478764,0.685279,0.959259,1.042471,0
199,5805,0,5331,474,0.918346,1,0.521282,1,0.478718,0.68532,0.959173,1.042565,0
200,5805,0,5330,475,0.918174,1,0.521329,1,0.478671,0.68536,0.959087,1.042658,0
201,5805,0,5329,476,0.918002,1,0.521376,1,0.478624,0.685401,0.959001,1.042752,0
202,5805,0,5328,477,0.917829,1,0.521423,1,0.478577,0.685441,0.958915,1.042846,0
203,5805,0,5327,478,0.917657,1,0.52147,1,0.47853,0.685481,0.958829,1.042939,0
204,5805,0,5326,479,0.917485,1,0.521516,1,0.478484,0.685522,0.958742,1.043033,0
205,5805,0,5325,480,0.917313,1,0.521563,1,0.478437,0.685562,0.958656,1.043127,0
206,5805,0,5324,481,0.91714,1,0.52161,1,0.47839,0.685603,0.95857,1.04322,0
207,5805,0,5323,482,0.916968,1,0.521657,1,0.478343,0.685643,0.958484,1.043314,0
208,5805,0,5322,483,0.916796,1,0.521704,1,0.478296,0.685684,0.958398,1.043408,0
209,5805,0,5321,484,0.916624,1,0.521751,1,0.478249,0.685724,0.958312,1.043502,0
210,5805,0,5320,485,0.916451,1,0.521798,1,0.478202,0.685765,0.958226,1.043596,0
211,5805,0,5319,486,0.916279,1,0.521845,1,0.478155,0.685805,0.95814,1.043689,0
212,5805,0,5318,487,0.916107,1,0.521892,1,0.478108,0.685846,0.958053,1.043783,0
213,5805,0,5317,488,0.915935,1,0.521939,1,0.478061,0.685886,0.957967,1.043877,0
214,5805,0,5316,489,0.915762,1,0.521985,1,0.478015,0.685927,0.957881,1.043971,0
215,5805,0,5315,490,0.91559,1,0.522032,1,0.477968,0.685968,0.957795,1.044065,0
216,5805,0,5314,491,0.915418,1,0.522079,1,0.477921,0.686008,0.957709,1.044159,0
217,5805,0,5313,492,0.915245,1,0.522126,1,0.477874,0.686049,0.957623,1.044253,0
218,5805,0,5312,493,0.915073,1,0.522173,1,0.477827,0.686089,0.957537,1.044346,0
219,5805,0,5311,494,0.914901,1,0.52222,1,0.47778,0.68613,0.95745,1.04444,0
220,5805,0,5310,495,0.914729,1,0.522267,1,0.477733,0.68617,0.957364,1.044534,0
221,5805,0,5309,496,0.914556,1,0.522314,1,0.477686,0.686211,0.957278,1.044628,0
222,5805,0,5308,497,0.914384,1,0.522361,1,0.477639,0.686251,0.957192,1.044722,0
223,5805,0,5307,498,0.914212,1,0.522408,1,0.477592,0.686292,0.957106,1.044816,0
224,5805,0,5306,499,0.91404,1,0.522455,1,0.477545,0.686332,0.95702,1.04491,0
225,5805,0,5305,500,0.913867,1,0.522502,1,0.477498,0.686373,0.956934,1.045005,0
226,5805,0,5304,501,0.913695,1,0.522549,1,0.477451,0.686414,0.956848,1.045099,0
227,5805,0,5303,502,0.913523,1,0.522596,1,0.477404,0.686454,0.956761,1.045193,0
228,5805,0,5302,503,0.913351,1,0.522643,1,0.477357,0.686495,0.956675,1.045287,0
229,5805,0,5301,504,0.913178,1,0.52269,1,0.47731,0.686535,0.956589,1.045381,0
230,5805,0,5300,505,0.913006,1,0.522738,1,0.477262,0.686576,0.956503,1.045475,0
231,5805,0,5299,506,0.912834,1,0.522785,1,0.477215,0.686617,0.956417,1.045569,0
