energy,second_eigen,unique_eigen,spectral_rad,link_impurity,neighborhood_impurity,avg_closeness,avg_clustering,small_worldness,near_native
(4624+0j),(2+0j),68,(2+0j),1,2.628571429,0.143647063,0.132721088,5.68439489,0
4761,1.939616801,70,2,1,3.085714286,0.200285589,0.123594104,3.447148248,0
4761,1.906606419,70,1.9354169,1,3.314285714,0.227647458,0.141655329,3.237332274,0
4761,1.925620275,70,2,1,3.142857143,0.204496993,0.126496599,3.316262268,0
4489,1.939688136,68,1.951934917,1,3.085714286,0.209659305,0.108945578,2.965246107,0
4489,1.941491124,68,2,1,2.714285714,0.162545708,0.076598639,4.502707918,0
4761,1.852034186,70,2,1,3.457142857,0.229929339,0.132687075,6.735846855,0
4624,2,69,2,1,2.942857143,0.162014929,0.166666667,7.865222855,0
4489,2,68,2,1,2.628571429,0.163100564,0.072585034,2.791019135,0
4761,1.936794932,70,2,1,3,0.191159666,0.111020408,2.859570249,0
4761,1.931376681,70,2,1,3.028571429,0.165589763,0.126258503,4.100809375,0
4761,1.90623474,70,2,1,3.371428571,0.206037151,0.149336219,3.460732383,0
4761,1.880508892,70,1.936550216,1,3.142857143,0.228330809,0.110170068,7.384094159,0
3969,1.944958802,64,1.947100504,1,2.742857143,0.191678201,0.102743764,1.876589511,0
4624,2,68,2,1,2.628571429,0.152023013,0.153231293,5.073706224,0
4489,2,68,2,1,2.857142857,0.16741852,0.072312925,3.3957904,0
4096,1.843801081,65,2,1,3.257142857,0.19029593,0.152278912,4.345386169,0
4489,1.903059631,68,2,1,3.4,0.205803972,0.174931973,4.340003821,0
4900,1.902894458,70,2,1,3.285714286,0.221416531,0.130571016,2.020134725,0
4225,1.886656092,66,2,1,2.828571429,0.1929743,0.058435374,1.641342327,0
4900,2,70,2,1,3.285714286,0.208454324,0.16255102,2.870450828,0
4225,2,66,2,1,2.8,0.171182084,0.155782313,8.681929125,0
4624,1.889172371,68,2,1,2.971428571,0.186762457,0.142210884,6.680366979,0
4489,2,68,2,1,3.057142857,0.181487062,0.097324263,3.674574133,0
0,(2+0j),68,(2+0j),1,2.685714286,0.142803921,0.113469388,14.20347569,0
4356,1.902749254,67,2,1,3.228571429,0.212036495,0.160975057,3.458484546,0
4489,1.893122641,68,1.954536643,1,3.457142857,0.225392385,0.176995465,4.260050367,0
4489,2,68,2,1,3,0.173157185,0.157482993,4.905558793,0
4225,1.951939545,66,1.965476635,1,2.942857143,0.194690202,0.098922902,1.668547798,0
0,(1.91770533268+0j),65,(2+0j),1,2.685714286,0.17872314,0.064761905,6.148200402,0
4356,2,67,2,1,2.942857143,0.165875674,0.100408163,0,0
4624,2,69,2,1,2.942857143,0.20488889,0.131972789,1.818207749,0
4624,2,69,2,1,3.428571429,0.226726657,0.14292517,4.360956597,0
4489,1.86259329,68,2,1,3.314285714,0.207394386,0.139965986,28.4093489,0
4225,2,65,2,1,2.485714286,0.135654158,0.083333333,2.203289758,0
4900,1.936702559,70,2,1,3.142857143,0.210704937,0.1388322,4.447813946,0
4624,1.911337547,69,2,1,3.085714286,0.192265731,0.152721088,10.83013585,0
4624,2,69,2,1,3.428571429,0.225948164,0.14207483,2.676987639,0
4225,1.90069067,65,2,1,3.085714286,0.190827172,0.105045351,3.520687438,0
