num_edges,density,avg_degree,percent_endpoints,energy,second_eigen,unique_eigen,spectral_rad,link_impurity,neighborhood_impurity,avg_closeness,avg_clustering,small_worldness,eccentricity,diameter,radius,%central_nodes,near_native
232,0.096066253,6.628571429,0.014285714,(464+0j),(6.46771812556+0j),70,(8.14950689547+0j),0.49137931,3.257142857,0.311756822,0.266419295,1.713415274,5.814285714,5,6,0.428571429,1
243,0.100621118,6.942857143,0,(486+0j),(6.51082929701+0j),70,(8.21672966898+0j),0.485596708,3.371428571,0.322753181,0.281868053,2.362817906,5.528571429,5,6,0.5,1
245,0.101449275,7,0,(490+0j),(6.68255869808+0j),70,(8.69857591168+0j),0.47755102,3.342857143,0.33311392,0.314789734,2.395570459,5.242857143,5,6,0.314285714,1
230,0.095238095,6.571428571,0,(460+0j),(6.28176957143+0j),70,(8.19420827589+0j),0.482608696,3.171428571,0.311130326,0.262633478,2.079120973,5.671428571,5,6,0.457142857,1
237,0.098136646,6.771428571,0,(474+0j),(6.2402021027+0j),70,(8.24254426002+0j),0.481012658,3.257142857,0.320631649,0.275947862,2.094911841,5.557142857,5,6,0.485714286,1
235,0.097308489,6.714285714,0,(470+0j),(6.41619600537+0j),70,(7.69182064882+0j),0.480851064,3.228571429,0.32240847,0.257185116,1.727330832,5.442857143,5,6,0.371428571,1
239,0.098964803,6.828571429,0,(478+0j),(6.37476026203+0j),70,(8.36432967647+0j),0.485355649,3.314285714,0.314141118,0.262432488,1.712852325,5.642857143,5,6,0.485714286,1
237,0.098136646,6.771428571,0,(474+0j),(6.34357450082+0j),70,(8.1930050277+0j),0.497890295,3.371428571,0.313824601,0.258051948,1.839145513,5.8,5,6,0.442857143,1
238,0.098550725,6.8,0,(476+0j),(6.31433980756+0j),70,(8.16765743966+0j),0.487394958,3.314285714,0.320416161,0.274280799,2.342561753,5.557142857,5,6,0.414285714,1
232,0.096066253,6.628571429,0.014285714,(464+0j),(6.56376511786+0j),70,(7.98739948668+0j),0.49137931,3.257142857,0.321155926,0.253503401,1.855996839,5.8,5,6,0.328571429,1
223,0.092339545,6.371428571,0,(446+0j),(6.33004477021+0j),70,(7.31302691181+0j),0.484304933,3.085714286,0.314746143,0.255438054,2.24935002,5.614285714,5,6,0.471428571,1
240,0.099378882,6.857142857,0,(480+0j),(6.56613212955+0j),70,(7.81310139805+0j),0.4875,3.342857143,0.327853543,0.28538858,1.697023523,5.242857143,5,6,0.414285714,1
228,0.094409938,6.514285714,0.028571429,(456+0j),(6.55220459413+0j),70,(8.05904499662+0j),0.49122807,3.2,0.309058676,0.262765647,2.242876158,6.414285714,5,6,0.4,1
239,0.098964803,6.828571429,0,(478+0j),(6.43540880007+0j),70,(8.69232311906+0j),0.468619247,3.2,0.31826402,0.300113458,1.84031616,5.585714286,6,7,0.142857143,1
234,0.09689441,6.685714286,0.014285714,(468+0j),(6.20086643253+0j),70,(8.38013382815+0j),0.487179487,3.257142857,0.311857614,0.2577953,1.655985525,5.9,5,6,0.414285714,1
245,0.101449275,7,0,(490+0j),(6.59097208844+0j),70,(8.28554943081+0j),0.473469388,3.314285714,0.329140053,0.276309008,2.044592628,5.357142857,5,6,0.457142857,1
233,0.096480331,6.657142857,0.028571429,(466+0j),(6.35074409548+0j),70,(7.8450206425+0j),0.489270386,3.257142857,0.325044379,0.263769326,1.730661761,5.457142857,5,6,0.4,1
235,0.097308489,6.714285714,0.014285714,(470+0j),(6.2427551534+0j),70,(8.33416755192+0j),0.489361702,3.285714286,0.314704138,0.267509792,1.7539759,5.7,5,6,0.471428571,1
234,0.09689441,6.685714286,0,(468+0j),(6.24719353652+0j),70,(8.14309970926+0j),0.478632479,3.2,0.320794048,0.278462807,1.926055361,5.6,5,6,0.442857143,1
233,0.096480331,6.657142857,0,(466+0j),(6.22144641832+0j),70,(7.80663725855+0j),0.489270386,3.257142857,0.320580546,0.279850546,1.897826364,5.428571429,5,6,0.357142857,1
229,0.094824017,6.542857143,0.014285714,(458+0j),(6.45576021345+0j),70,(7.49688170458+0j),0.489082969,3.2,0.31608766,0.253038549,1.816627707,5.642857143,5,6,0.428571429,1
243,0.100621118,6.942857143,0,(486+0j),(6.7568060139+0j),70,(8.04698977687+0j),0.489711934,3.4,0.325111783,0.267540872,1.797820163,5.571428571,5,6,0.414285714,1
230,0.095238095,6.571428571,0,(460+0j),(6.3977187926+0j),70,(7.29574547059+0j),0.491304348,3.228571429,0.313949626,0.263998145,1.903008189,5.7,5,6,0.5,1
232,0.096066253,6.628571429,0,(464+0j),(6.24768637965+0j),70,(8.12714168712+0j),0.49137931,3.257142857,0.310784932,0.264157906,2.008311087,5.785714286,5,6,0.414285714,1
232,0.096066253,6.628571429,0.014285714,(464+0j),(6.29536840839+0j),70,(8.28246297237+0j),0.49137931,3.257142857,0.312204772,0.265198928,2.466388406,5.814285714,5,6,0.428571429,1
236,0.097722567,6.742857143,0,(472+0j),(6.67940171274+0j),70,(7.873496541+0j),0.5,3.371428571,0.319518772,0.286270872,2.302400547,5.528571429,5,6,0.414285714,1
